"Jahr","Saison","Bern_Mitteltemperatur","Bern_Niederschlagssumme","GrStBernhard_Mitteltemperatur","GrStBernhard_Niederschlagssumme"
1901,"Fruehling(MAM)",7.73333333333333,277.8,-4,494.7
1901,"Herbst(SON)",7.4,244.9,-0.8,520.8
1901,"Sommer(JJA)",16.8,381.1,6.3,285.2
1901,"Winter(DJF)",-2.73333333333333,112.4,-10.6,356.2
1902,"Fruehling(MAM)",7.53333333333333,323.2,-3.63333333333333,448.1
1902,"Herbst(SON)",7.46666666666667,231.7,-1,335.6
1902,"Sommer(JJA)",16.4666666666667,295.9,5.3,242.7
1902,"Winter(DJF)",-0.8,193.9,-7.4,341.2
1903,"Fruehling(MAM)",7.43333333333333,177.6,-4.46666666666667,409.7
1903,"Herbst(SON)",8.76666666666667,267.3,-0.466666666666667,507.1
1903,"Sommer(JJA)",15.6333333333333,394.1,5.16666666666667,394.8
1903,"Winter(DJF)",-1.06666666666667,139.2,-7.4,262.2
1904,"Fruehling(MAM)",8.96666666666667,251.3,-2.26666666666667,327.8
1904,"Herbst(SON)",7.4,149,-1.06666666666667,201.1
1904,"Sommer(JJA)",18.4666666666667,250.3,7.33333333333333,278.7
1904,"Winter(DJF)",-0.533333333333333,231.1,-8.23333333333333,411.6
1905,"Fruehling(MAM)",7.86666666666667,383.9,-3.4,512.6
1905,"Herbst(SON)",6.63333333333333,334.8,-2.86666666666667,535.7
1905,"Sommer(JJA)",17.7666666666667,446.1,6.4,490.7
1905,"Winter(DJF)",-1.5,96.3,-8.4,178.8
1906,"Fruehling(MAM)",7.6,194.9,-3.9,381.9
1906,"Herbst(SON)",9.13333333333333,151.2,0.933333333333333,365.9
1906,"Sommer(JJA)",17.2666666666667,219.3,6.4,140.5
1906,"Winter(DJF)",-1.56666666666667,210.4,-10.4666666666667,433.5
1907,"Fruehling(MAM)",7.33333333333333,217.3,-4.33333333333333,373.6
1907,"Herbst(SON)",9.06666666666667,166,0.2,571.5
1907,"Sommer(JJA)",16.2333333333333,340.9,5.93333333333333,393.8
1907,"Winter(DJF)",-1.3,216.8,-8.73333333333333,381.8
1908,"Fruehling(MAM)",7.46666666666667,234.6,-4.43333333333333,373.7
1908,"Herbst(SON)",7.33333333333333,187.9,0.466666666666667,238
1908,"Sommer(JJA)",16.7666666666667,358.5,5.6,288.1
1908,"Winter(DJF)",-1.8,161.2,-8.06666666666667,317.5
1909,"Fruehling(MAM)",7.53333333333333,186.4,-3.86666666666667,304.6
1909,"Herbst(SON)",7.9,216.7,-1.3,322.3
1909,"Sommer(JJA)",15.3,372.4,4.3,423.7
1909,"Winter(DJF)",-1.8,198,-9.23333333333333,397
1910,"Fruehling(MAM)",7.26666666666667,214.4,-4.6,333.1
