Jahr,Monat,Tag,Wochentag,Temperatur(C),Niederschlag(mm/Tag),Bewoelkung(Achtel)
2000,1,1,Sa,3.6,0,3
2000,1,2,So,4.8,0,7
2000,1,3,Mo,4.6,0,3
2000,1,4,Di,6.2,0,3
2000,1,5,Mi,8.1,0.2,3
2000,1,6,Do,6.9,0,3
2000,1,7,Fr,3.4,0,6
2000,1,8,Sa,2.4,0,6
2000,1,9,So,5.5,0.5,6
2000,1,10,Mo,5.1,1.8,7
2000,1,11,Di,4.9,0,8
2000,1,12,Mi,4.7,0,4
2000,1,13,Do,3.3,0,1
2000,1,14,Fr,2.8,0,3
2000,1,15,Sa,0.8,0,3
2000,1,16,So,0.3,0,6
2000,1,17,Mo,2.3,0,2
2000,1,18,Di,4.6,0,4
2000,1,19,Mi,4.2,0,1
2000,1,20,Do,2.3,0,1
2000,1,21,Fr,2.5,0,6
2000,1,22,Sa,1.7,2,5
2000,1,23,So,2.2,1.4,7
2000,1,24,Mo,0.2,0,4
2000,1,25,Di,-3.6,0,7
2000,1,26,Mi,-3.8,0,8
2000,1,27,Do,-3.3,0,4
2000,1,28,Fr,-0.9,0,3
2000,1,29,Sa,3.9,5.5,3
2000,1,30,So,9.2,7.8,5
2000,1,31,Mo,10,0,1
2000,2,1,Di,8.2,0,1
2000,2,2,Mi,8.6,6.8,6
2000,2,3,Do,8.2,0.1,2
2000,2,4,Fr,5.9,0,0
2000,2,5,Sa,7.7,0,0
2000,2,6,So,10.1,0,1
2000,2,7,Mo,9.6,0.4,7
2000,2,8,Di,9,23.5,6
2000,2,9,Mi,6.7,0.1,5
2000,2,10,Do,7.1,0.3,3
2000,2,11,Fr,7,8.7,7
2000,2,12,Sa,6.3,0,6
2000,2,13,So,5.3,1.4,5
2000,2,14,Mo,5,0,6
2000,2,15,Di,10.6,3.5,6
2000,2,16,Mi,6.5,13,6
2000,2,17,Do,2.7,1.1,5
2000,2,18,Fr,3.1,5.7,7
2000,2,19,Sa,7.4,1.5,6
2000,2,20,So,4,0,5
2000,2,21,Mo,3.9,0,2
2000,2,22,Di,4.5,0,1
2000,2,23,Mi,5.5,0,1
2000,2,24,Do,5.7,0,3
2000,2,25,Fr,11.5,0,4
